,Volume,Close,EMA9,EMA20,EMA50,EMA100,EMA200,EMA500,MACD,RSI,Target
103,18800,5797.330078125,5583.684486742711,5411.6715026301035,5116.291614717988,4782.604381583967,4418.5336192180475,4058.153193657884,30.278040949089075,83.39957778085659,0
104,34200,5791.85009765625,5625.317608925419,5447.878987870688,5142.784104244978,4802.589445268566,4432.198459799522,4065.0741393824287,29.776328163082724,82.75194370322102,1
105,28200,5838.9599609375,5668.046079327835,5485.124794829433,5170.085118232921,4823.111633697654,4446.196086676518,4072.155519907599,29.39342979215101,83.90878105203603,1
106,31400,6026.58984375,5739.754832212269,5536.69289472663,5203.673538841434,4846.942885381858,4461.921397692174,4079.95765293691,38.00573995400666,87.5036956737896,0
107,33600,6039.0,5799.6038657698155,5584.531666657426,5236.431439279025,4870.547976760435,4477.613722093247,4087.7781812684993,40.53586465509812,87.6994378984127,-1
108,37600,5943.64013671875,5828.411119959603,5618.732473329933,5264.165113688426,4891.797326462579,4492.201049601958,4095.1868118291786,32.15113971205176,77.63614849882421,0
109,36200,5957.02001953125,5854.132899873933,5650.950334872915,5291.335894309713,4912.890845137205,4506.7763627355835,4102.6192797241965,24.230977213370068,78.01729820934511,1
110,31600,6108.5400390625,5905.014327711647,5694.530306700494,5323.383115672567,4936.567066799092,4522.714309763712,4110.626947426146,25.777734966727195,81.80014904878124,0
111,45200,6119.58984375,5947.929430919317,5735.012167371876,5354.6069089305065,4959.99326040208,4538.603618559596,4118.646759387519,24.153857712428362,82.04283530484054,-1
112,31600,6067.759765625,5971.895497860454,5766.702414824555,5382.573687624409,4981.929230802533,4553.819102609998,4126.42764963198,16.55991543996788,76.86533849764415,1
113,33200,6132.97021484375,6004.110441257113,5801.585062445431,5412.001002417324,5004.722121575627,4569.532049000383,4134.437799592905,13.053648705871439,78.68768059275692,1
114,35600,6194.10986328125,6042.110325661941,5838.968376810747,5442.671938137478,5028.274354084649,4585.697002376312,4142.660043360124,12.003721202210556,80.25786715493882,-1
115,38000,6063.91015625,6046.470291779553,5860.39140342401,5467.0342212007145,5048.781993731487,4600.405590972071,4150.329704489425,0.31022890453590435,68.65730477144125,-1
116,47800,5946.18994140625,6026.414221704893,5868.562692755651,5485.8246416009315,5066.552448140888,4613.796480031117,4157.498807231608,-16.645746454476892,60.18664416803313,1
117,36200,6064.10009765625,6033.951396895165,5887.185302746185,5508.502110465846,5086.305866943172,4628.227361798532,4165.109990027715,-20.935965167406152,64.86273878241491,-1
118,41000,5922.10986328125,6011.583090172382,5890.511451368572,5524.72202234096,5102.856441128084,4641.101814549605,4172.123961577629,-33.601151092328934,56.28900454520956,-1
119,43200,5758.18994140625,5960.904460419156,5877.909402800732,5533.877627010188,5115.833342123691,4652.217119294447,4178.455562295509,-52.17459184558825,48.34429676354803,-1
120,51000,5593.740234375,5887.471615210325,5850.845672474472,5536.225180240181,5125.296844940549,4661.585508499229,4184.1054013058065,-73.392455010237,41.94770526613934,1
121,37600,5816.64013671875,5873.30531951201,5847.588002402498,5547.221845200124,5138.986811114375,4673.078589377036,4190.622506037994,-70.26849206168956,51.34480877262516,1
122,45200,5993.06005859375,5897.256267328358,5861.442483944522,5564.705696705757,5155.89915264862,4686.212733349342,4197.817865529234,-54.8573950453372,57.244019618141586,-1
123,47800,5876.0498046875,5893.014974800187,5862.833657348615,5576.915269567786,5170.159561599885,4698.051908188528,4204.517394228469,-51.153832820004595,52.68170204451999,-1
124,45000,5802.75,5874.96197984015,5857.111404267795,5585.771533506304,5182.686104934541,4709.043929002572,4210.897564311389,-52.076384754825,49.99367266086312,-1
125,38800,5695.669921875,5839.10356824712,5841.73602499229,5590.081274226645,5192.8442003195005,4718.8611030610045,4216.824799271722,-57.887219244716036,46.278776901562466,-1
126,39600,5620.97998046875,5795.4788506914465,5820.711639799572,5591.292988196924,5201.322136560079,4727.837410298893,4222.430209176701,-64.25832145428134,43.832178069433795,1
127,41800,5756.759765625,5787.735033678157,5814.620985116279,5597.781881429398,5212.320901492058,4738.075443685223,4228.555277266315,-57.068460944498185,49.10027777175826,-1
128,44600,5720.6298828125,5774.314003505026,5805.669451563539,5602.599450111088,5222.386425874641,4747.8521047710665,4234.511662917198,-52.59655892151807,47.8151449993264,1
129,37800,5786.35009765625,5776.721222335272,5803.829513096179,5609.8053578579575,5233.554023335662,4758.185418133108,4240.706626728532,-43.44293162697768,50.36027807337945,1
130,30400,5926.22021484375,5806.621020836968,5815.485770405472,5622.213783622106,5247.270185543743,4769.8076549163,4247.435223886676,-27.003649132079374,55.351258671421796,0
131,44400,5932.52001953125,5831.800820575825,5826.631889369832,5634.382655618543,5260.839489187059,4781.37693217615,4254.162109298431,-15.322231977699673,55.56794910141945,1
132,37200,5949.77978515625,5855.396613491911,5838.360260397109,5646.751170502374,5274.481871285459,4793.002831210779,4260.931042136186,-6.500950264836902,56.195204859513304,0
133,37600,5936.9599609375,5871.709282981029,5847.750708067623,5658.131907382183,5287.600249298372,4804.38548921801,4267.621776342978,-1.8395643723129211,55.567720738827454,1
134,32800,6011.66015625,5899.699457634823,5863.36113170404,5671.99576027896,5301.938069238008,4816.39817247206,4274.584005404483,5.5596377826081,58.47719497371309,0
135,30800,6012.35009765625,5922.229585639108,5877.550557032822,5685.342989195717,5316.005634157181,4828.2981916281215,4281.521195393512,9.551138684967285,58.504221796429306,1
136,30800,6035.7998046875,5944.943629448787,5892.6219139523155,5699.086393724806,5330.258984068672,4840.313133051598,4288.524303614247,12.62822348158494,59.46982062372411,0
137,31200,6027.02001953125,5961.35890746528,5905.421733531261,5711.946535913295,5344.056232295654,4852.121161772789,4295.464406272599,12.885270935450215,58.91702477333129,-1
